slide,tube_id,section,group,H_axis1,P_axis1,risk
slide2,g4,g,Tcell-h,-2.78114972079321,-2.8825662643789096,0.6008639335632324
slide2,g5,g,Tcell-h,-0.6083309220508741,-0.4780829869894824,0.5641840845346451
slide2,g6,g,Tcell-h,-2.5897675390295696,-2.452338430071684,0.46227120856444043
slide2,g7,g,Tcell-h,-0.6683098457867775,-0.1343806435560752,0.46084312597910565
slide2,h1,h,Tcell-l,-0.4727297840128133,-0.7833021191283172,0.17440054814020792
slide2,h2,h,Tcell-l,-2.028621868909526,-1.9038420610126416,0.24265525862574577
slide2,h3,h,Tcell-l,-0.2888631239731689,-0.5301072338511882,0.2225509248673916
slide2,h4,h,Tcell-l,0.1273163529466767,0.2572796641953033,0.26264766976237297
slide2,h5,h,Tcell-l,0.0178084313079229,0.0090089006262297,0.2702067978680134
slide2,h6,h,Tcell-l,0.2008526015442504,-0.0751615701851591,0.29242128133773804
slide2,h7,h,Tcell-l,0.0007719770487501,-0.2649621671734678,0.3994779348373413
slide2,h8,h,Tcell-l,0.111640163857959,0.2778586098187536,0.41990499198436737
slide2,v1,v,Tumor-ctrl,0.8076814003189522,0.4087875830004258,0.43950317800045013
slide2,v2,v,Tumor-ctrl,0.3171017992003532,0.5396778694090103,0.441025011241436
slide2,v3,v,Tumor-ctrl,0.2411181482998476,-0.0204513663038712,0.4772086441516876
slide2,v4,v,Tumor-ctrl,0.609230684860031,0.5257679750447948,0.4778878167271614
slide2,v5,v,Tumor-ctrl,0.736634443866877,0.8411485063797698,0.504091719786326
